Country Code,Currency Unit,Region,Income Group
ABW,Aruban florin,Latin America & Caribbean,High income: nonOECD
AFG,Afghan afghani,South Asia,Low income
AGO,Angolan kwanza,Sub-Saharan Africa,Upper middle income
ALB,Albanian lek,Europe & Central Asia,Upper middle income
AND,Euro,Europe & Central Asia,High income: nonOECD
ARB,,,
ARE,U.A.E. dirham,Middle East & North Africa,High income: nonOECD
ARG,Argentine peso,Latin America & Caribbean,Upper middle income
ARM,Armenian dram,Europe & Central Asia,Lower middle income
ASM,U.S. dollar,East Asia & Pacific,Upper middle income
ATG,East Caribbean dollar,Latin America & Caribbean,High income: nonOECD
AUS,Australian dollar,East Asia & Pacific,High income: OECD
AUT,Euro,Europe & Central Asia,High income: OECD
AZE,New Azeri manat,Europe & Central Asia,Upper middle income
BDI,Burundi franc,Sub-Saharan Africa,Low income
BEL,Euro,Europe & Central Asia,High income: OECD
BEN,CFA franc,Sub-Saharan Africa,Low income
BFA,CFA franc,Sub-Saharan Africa,Low income
BGD,Bangladeshi taka,South Asia,Low income
BGR,Bulgarian lev,Europe & Central Asia,Upper middle income
BHR,Bahraini dinar,Middle East & North Africa,High income: nonOECD
BHS,Bahamian dollar,Latin America & Caribbean,High income: nonOECD
BIH,Bosnia and Herzegovina convertible mark,Europe & Central Asia,Upper middle income
BLR,Belarusian rubel,Europe & Central Asia,Upper middle income
BLZ,Belize dollar,Latin America & Caribbean,Upper middle income
BMU,Bermuda dollar,North America,High income: nonOECD
BOL,Bolivian Boliviano,Latin America & Caribbean,Lower middle income
BRA,Brazilian real,Latin America & Caribbean,Upper middle income
BRB,Barbados dollar,Latin America & Caribbean,High income: nonOECD
BRN,Brunei dollar,East Asia & Pacific,High income: nonOECD
BTN,Bhutanese ngultrum,South Asia,Lower middle income
BWA,Botswana pula,Sub-Saharan Africa,Upper middle income
CAF,CFA franc,Sub-Saharan Africa,Low income
CAN,Canadian dollar,North America,High income: OECD
CHE,Swiss franc,Europe & Central Asia,High income: OECD
CHL,Chilean peso,Latin America & Caribbean,High income: OECD
CHN,Chinese yuan,East Asia & Pacific,Upper middle income
CIV,CFA franc,Sub-Saharan Africa,Lower middle income
CMR,CFA franc,Sub-Saharan Africa,Lower middle income
COD,Congolese franc,Sub-Saharan Africa,Low income
COG,CFA franc,Sub-Saharan Africa,Lower middle income
COL,Colombian peso,Latin America & Caribbean,Upper middle income
COM,Comorian franc,Sub-Saharan Africa,Low income
CPV,Cabo Verde escudo,Sub-Saharan Africa,Lower middle income
CRI,Costa Rican colon,Latin America & Caribbean,Upper middle income
CUB,Cuban peso,Latin America & Caribbean,Upper middle income
CUW,Netherlands Antilles guilder,Latin America & Caribbean,High income: nonOECD
CYM,Cayman Islands dollar,Latin America & Caribbean,High income: nonOECD
CYP,Euro,Europe & Central Asia,High income: nonOECD
CZE,Czech koruna,Europe & Central Asia,High income: OECD
DEU,Euro,Europe & Central Asia,High income: OECD
DJI,Djibouti franc,Middle East & North Africa,Lower middle income
DMA,East Caribbean dollar,Latin America & Caribbean,Upper middle income
DNK,Danish krone,Europe & Central Asia,High income: OECD
DOM,Dominican peso,Latin America & Caribbean,Upper middle income
DZA,Algerian dinar,Middle East & North Africa,Upper middle income
EAP,,,
EAS,,,
ECA,,,
ECS,,,
ECU,U.S. dollar,Latin America & Caribbean,Upper middle income
EGY,Egyptian pound,Middle East & North Africa,Lower middle income
EMU,,,
ERI,Eritrean nakfa,Sub-Saharan Africa,Low income
ESP,Euro,Europe & Central Asia,High income: OECD
EST,Euro,Europe & Central Asia,High income: OECD
ETH,Ethiopian birr,Sub-Saharan Africa,Low income
EUU,,,
FIN,Euro,Europe & Central Asia,High income: OECD
FJI,Fijian dollar,East Asia & Pacific,Upper middle income
FRA,Euro,Europe & Central Asia,High income: OECD
FRO,Danish krone,Europe & Central Asia,High income: nonOECD
FSM,U.S. dollar,East Asia & Pacific,Lower middle income
GAB,CFA franc,Sub-Saharan Africa,Upper middle income
GBR,Pound sterling,Europe & Central Asia,High income: OECD
GEO,Georgian lari,Europe & Central Asia,Lower middle income
GHA,New Ghanaian cedi,Sub-Saharan Africa,Lower middle income
GIB,Gibraltar pound,,
GIN,Guinean franc,Sub-Saharan Africa,Low income
GMB,Gambian dalasi,Sub-Saharan Africa,Low income
GNB,CFA franc,Sub-Saharan Africa,Low income
GNQ,CFA franc,Sub-Saharan Africa,High income: nonOECD
GRC,Euro,Europe & Central Asia,High income: OECD
GRD,East Caribbean dollar,Latin America & Caribbean,Upper middle income
GRL,Danish krone,Europe & Central Asia,High income: nonOECD
GTM,Guatemalan quetzal,Latin America & Caribbean,Lower middle income
GUM,U.S. dollar,East Asia & Pacific,High income: nonOECD
GUY,Guyana dollar,Latin America & Caribbean,Lower middle income
HIC,,,
HKG,Hong Kong dollar,East Asia & Pacific,High income: nonOECD
HND,Honduran lempira,Latin America & Caribbean,Lower middle income
HPC,,,
HRV,Croatian kuna,Europe & Central Asia,High income: nonOECD
HTI,Haitian gourde,Latin America & Caribbean,Low income
HUN,Hungarian forint,Europe & Central Asia,Upper middle income
IDN,Indonesian rupiah,East Asia & Pacific,Lower middle income
IMN,Pound sterling,Europe & Central Asia,High income: nonOECD
IND,Indian rupee,South Asia,Lower middle income
IRL,Euro,Europe & Central Asia,High income: OECD
IRN,Iranian rial,Middle East & North Africa,Upper middle income
IRQ,Iraqi dinar,Middle East & North Africa,Upper middle income
ISL,Iceland krona,Europe & Central Asia,High income: OECD
ISR,Israeli new shekel,Middle East & North Africa,High income: OECD
ITA,Euro,Europe & Central Asia,High income: OECD
JAM,Jamaican dollar,Latin America & Caribbean,Upper middle income
JOR,Jordanian dinar,Middle East & North Africa,Upper middle income
JPN,Japanese yen,East Asia & Pacific,High income: OECD
KAZ,Kazakh tenge,Europe & Central Asia,Upper middle income
KEN,Kenyan shilling,Sub-Saharan Africa,Low income
KGZ,Kyrgyz som,Europe & Central Asia,Lower middle income
KHM,Cambodian riel,East Asia & Pacific,Low income
KIR,Australian dollar,East Asia & Pacific,Lower middle income
KNA,East Caribbean dollar,Latin America & Caribbean,High income: nonOECD
KOR,Korean won,East Asia & Pacific,High income: OECD
KWT,Kuwaiti dinar,Middle East & North Africa,High income: nonOECD
LAC,,,
LAO,Lao kip,East Asia & Pacific,Lower middle income
LBN,Lebanese pound,Middle East & North Africa,Upper middle income
LBR,Liberian dollar,Sub-Saharan Africa,Low income
LBY,Libyan dinar,Middle East & North Africa,Upper middle income
LCA,East Caribbean dollar,Latin America & Caribbean,Upper middle income
LCN,,,
LDC,,,
LIC,,,
LIE,Swiss franc,Europe & Central Asia,High income: nonOECD
LKA,Sri Lankan rupee,South Asia,Lower middle income
LMC,,,
LMY,,,
LSO,Lesotho loti,Sub-Saharan Africa,Lower middle income
LTU,Lithuanian litas,Europe & Central Asia,High income: nonOECD
LUX,Euro,Europe & Central Asia,High income: OECD
LVA,Latvian lats,Europe & Central Asia,High income: nonOECD
MAC,Macao pataca,East Asia & Pacific,High income: nonOECD
MAF,Euro,Latin America & Caribbean,High income: nonOECD
MAR,Moroccan dirham,Middle East & North Africa,Lower middle income
MCO,Euro,Europe & Central Asia,High income: nonOECD
MDA,Moldovan leu,Europe & Central Asia,Lower middle income
MDG,Malagasy ariary,Sub-Saharan Africa,Low income
MDV,Maldivian rufiyaa,South Asia,Upper middle income
MEA,,,
MEX,Mexican peso,Latin America & Caribbean,Upper middle income
MHL,U.S. dollar,East Asia & Pacific,Upper middle income
MIC,,,
MKD,Macedonian denar,Europe & Central Asia,Upper middle income
MLI,CFA franc,Sub-Saharan Africa,Low income
MLT,Euro,Middle East & North Africa,High income: nonOECD
MMR,Myanmar kyat,East Asia & Pacific,Low income
MNA,,,
MNE,Euro,Europe & Central Asia,Upper middle income
MNG,Mongolian tugrik,East Asia & Pacific,Lower middle income
MNP,U.S. dollar,East Asia & Pacific,High income: nonOECD
MOZ,New Mozambican metical,Sub-Saharan Africa,Low income
MRT,Mauritanian ouguiya,Sub-Saharan Africa,Lower middle income
MUS,Mauritian rupee,Sub-Saharan Africa,Upper middle income
MWI,Malawi kwacha,Sub-Saharan Africa,Low income
MYS,Malaysian ringgit,East Asia & Pacific,Upper middle income
NAC,,,
NAM,Namibian dollar,Sub-Saharan Africa,Upper middle income
NCL,CFP franc,East Asia & Pacific,High income: nonOECD
NER,CFA franc,Sub-Saharan Africa,Low income
NGA,Nigerian naira,Sub-Saharan Africa,Lower middle income
NIC,Nicaraguan gold cordoba,Latin America & Caribbean,Lower middle income
NLD,Euro,Europe & Central Asia,High income: OECD
NOR,Norwegian krone,Europe & Central Asia,High income: OECD
NPL,Nepalese rupee,South Asia,Low income
NRU,,,
NZL,New Zealand dollar,East Asia & Pacific,High income: OECD
OED,,,
OMN,Rial Omani,Middle East & North Africa,High income: nonOECD
PAK,Pakistani rupee,South Asia,Lower middle income
PAN,Panamanian balboa,Latin America & Caribbean,Upper middle income
PER,Peruvian new sol,Latin America & Caribbean,Upper middle income
PHL,Philippine peso,East Asia & Pacific,Lower middle income
PLW,U.S. dollar,East Asia & Pacific,Upper middle income
PNG,Papua New Guinea kina,East Asia & Pacific,Lower middle income
POL,Polish zloty,Europe & Central Asia,High income: OECD
PRI,U.S. dollar,Latin America & Caribbean,High income: nonOECD
PRK,Democratic People's Republic of Korean won,East Asia & Pacific,Low income
PRT,Euro,Europe & Central Asia,High income: OECD
PRY,Paraguayan guarani,Latin America & Caribbean,Lower middle income
PSE,Israeli new shekel,Middle East & North Africa,Lower middle income
PYF,CFP franc,East Asia & Pacific,High income: nonOECD
QAT,Qatari riyal,Middle East & North Africa,High income: nonOECD
ROU,New Romanian leu,Europe & Central Asia,Upper middle income
RUS,Russian ruble,Europe & Central Asia,High income: nonOECD
RWA,Rwandan franc,Sub-Saharan Africa,Low income
SAS,,,
SAU,Saudi Arabian riyal,Middle East & North Africa,High income: nonOECD
SDN,Sudanese pound,Sub-Saharan Africa,Lower middle income
SEN,CFA franc,Sub-Saharan Africa,Lower middle income
SGP,Singapore dollar,East Asia & Pacific,High income: nonOECD
SLB,Solomon Islands dollar,East Asia & Pacific,Lower middle income
SLE,Sierra Leonean leone,Sub-Saharan Africa,Low income
SLV,U.S. dollar,Latin America & Caribbean,Lower middle income
SMR,Euro,Europe & Central Asia,High income: nonOECD
SOM,Somali shilling,Sub-Saharan Africa,Low income
SRB,New Serbian dinar,Europe & Central Asia,Upper middle income
SSA,,,
SSD,South Sudanese Pound,Sub-Saharan Africa,Lower middle income
SSF,,,
STP,São Tomé and Principe dobra,Sub-Saharan Africa,Lower middle income
SUR,Suriname dollar,Latin America & Caribbean,Upper middle income
SVK,Euro,Europe & Central Asia,High income: OECD
SVN,Euro,Europe & Central Asia,High income: OECD
SWE,Swedish krona,Europe & Central Asia,High income: OECD
SWZ,Swaziland lilangeni,Sub-Saharan Africa,Lower middle income
SXM,Netherlands Antilles guilder,Latin America & Caribbean,High income: nonOECD
SYC,Seychelles rupee,Sub-Saharan Africa,Upper middle income
SYR,Syrian pound,Middle East & North Africa,Lower middle income
TCA,U.S. dollar,Latin America & Caribbean,High income: nonOECD
TCD,CFA franc,Sub-Saharan Africa,Low income
TGO,CFA franc,Sub-Saharan Africa,Low income
THA,Thai baht,East Asia & Pacific,Upper middle income
TJK,Tajik somoni,Europe & Central Asia,Low income
TKM,New Turkmen manat,Europe & Central Asia,Upper middle income
TLS,U.S. dollar,East Asia & Pacific,Lower middle income
TON,Tongan pa'anga,East Asia & Pacific,Upper middle income
TTO,Trinidad and Tobago dollar,Latin America & Caribbean,High income: nonOECD
TUN,Tunisian dinar,Middle East & North Africa,Upper middle income
TUR,New Turkish lira,Europe & Central Asia,Upper middle income
TUV,Australian dollar,East Asia & Pacific,Upper middle income
TZA,Tanzanian shilling,Sub-Saharan Africa,Low income
UGA,Ugandan shilling,Sub-Saharan Africa,Low income
UKR,Ukrainian hryvnia,Europe & Central Asia,Lower middle income
UMC,,,
URY,Uruguayan peso,Latin America & Caribbean,High income: nonOECD
USA,U.S. dollar,North America,High income: OECD
UZB,Uzbek sum,Europe & Central Asia,Lower middle income
VCT,East Caribbean dollar,Latin America & Caribbean,Upper middle income
VEN,Venezuelan bolivar fuerte,Latin America & Caribbean,Upper middle income
VIR,U.S. dollar,Latin America & Caribbean,High income: nonOECD
VNM,Vietnamese dong,East Asia & Pacific,Lower middle income
VUT,Vanuatu vatu,East Asia & Pacific,Lower middle income
WLD,,,
WSM,Samoan tala,East Asia & Pacific,Lower middle income
YEM,Yemeni rial,Middle East & North Africa,Lower middle income
ZAF,South African rand,Sub-Saharan Africa,Upper middle income
ZMB,New Zambian kwacha,Sub-Saharan Africa,Lower middle income
ZWE,U.S. dollar,Sub-Saharan Africa,Low income
