Series Code,Topic,Indicator Name
BAR.NOED.1519.FE.ZS,Attainment,Barro-Lee: Percentage of female population age 15-19 with no education
BAR.NOED.1519.ZS,Attainment,Barro-Lee: Percentage of population age 15-19 with no education
BAR.NOED.15UP.FE.ZS,Attainment,Barro-Lee: Percentage of female population age 15+ with no education
BAR.NOED.15UP.ZS,Attainment,Barro-Lee: Percentage of population age 15+ with no education
BAR.NOED.2024.FE.ZS,Attainment,Barro-Lee: Percentage of female population age 20-24 with no education
BAR.NOED.2024.ZS,Attainment,Barro-Lee: Percentage of population age 20-24 with no education
BAR.NOED.2529.FE.ZS,Attainment,Barro-Lee: Percentage of female population age 25-29 with no education
BAR.NOED.2529.ZS,Attainment,Barro-Lee: Percentage of population age 25-29 with no education
BAR.NOED.25UP.FE.ZS,Attainment,Barro-Lee: Percentage of female population age 25+ with no education
BAR.NOED.25UP.ZS,Attainment,Barro-Lee: Percentage of population age 25+ with no education
BAR.NOED.3034.FE.ZS,Attainment,Barro-Lee: Percentage of female population age 30-34 with no education
BAR.NOED.3034.ZS,Attainment,Barro-Lee: Percentage of population age 30-34 with no education
BAR.NOED.3539.FE.ZS,Attainment,Barro-Lee: Percentage of female population age 35-39 with no education
BAR.NOED.3539.ZS,Attainment,Barro-Lee: Percentage of population age 35-39 with no education
BAR.NOED.4044.FE.ZS,Attainment,Barro-Lee: Percentage of female population age 40-44 with no education
BAR.NOED.4044.ZS,Attainment,Barro-Lee: Percentage of population age 40-44 with no education
BAR.NOED.4549.FE.ZS,Attainment,Barro-Lee: Percentage of female population age 45-49 with no education
BAR.NOED.4549.ZS,Attainment,Barro-Lee: Percentage of population age 45-49 with no education
BAR.NOED.5054.FE.ZS,Attainment,Barro-Lee: Percentage of female population age 50-54 with no education
BAR.NOED.5054.ZS,Attainment,Barro-Lee: Percentage of population age 50-54 with no education
BAR.NOED.5559.FE.ZS,Attainment,Barro-Lee: Percentage of female population age 55-59 with no education
BAR.NOED.5559.ZS,Attainment,Barro-Lee: Percentage of population age 55-59 with no education
BAR.NOED.6064.FE.ZS,Attainment,Barro-Lee: Percentage of female population age 60-64 with no education
BAR.NOED.6064.ZS,Attainment,Barro-Lee: Percentage of population age 60-64 with no education
BAR.NOED.6569.FE.ZS,Attainment,Barro-Lee: Percentage of female population age 65-69 with no education
BAR.NOED.6569.ZS,Attainment,Barro-Lee: Percentage of population age 65-69 with no education
BAR.NOED.7074.FE.ZS,Attainment,Barro-Lee: Percentage of female population age 70-74 with no education
BAR.NOED.7074.ZS,Attainment,Barro-Lee: Percentage of population age 70-74 with no education
BAR.NOED.75UP.FE.ZS,Attainment,Barro-Lee: Percentage of female population age 75+ with no education
BAR.NOED.75UP.ZS,Attainment,Barro-Lee: Percentage of population age 75+ with no education
BAR.POP.1519,Attainment,"Barro-Lee: Population in thousands, age 15-19, total"
BAR.POP.1519.FE,Attainment,"Barro-Lee: Population in thousands, age 15-19, female"
BAR.POP.15UP,Attainment,"Barro-Lee: Population in thousands, age 15+, total"
BAR.POP.15UP.FE,Attainment,"Barro-Lee: Population in thousands, age 15+, female"
BAR.POP.2024,Attainment,"Barro-Lee: Population in thousands, age 20-24, total"
BAR.POP.2024.FE,Attainment,"Barro-Lee: Population in thousands, age 20-24, female"
BAR.POP.2529,Attainment,"Barro-Lee: Population in thousands, age 25-29, total"
BAR.POP.2529.FE,Attainment,"Barro-Lee: Population in thousands, age 25-29, female"
BAR.POP.25UP,Attainment,"Barro-Lee: Population in thousands, age 25+, total"
BAR.POP.25UP.FE,Attainment,"Barro-Lee: Population in thousands, age 25+, female"
BAR.POP.3034,Attainment,"Barro-Lee: Population in thousands, age 30-34, total"
BAR.POP.3034.FE,Attainment,"Barro-Lee: Population in thousands, age 30-34, female"
BAR.POP.3539,Attainment,"Barro-Lee: Population in thousands, age 35-39, total"
BAR.POP.3539.FE,Attainment,"Barro-Lee: Population in thousands, age 35-39, female"
